Source,CH3
Second,Volt
-0.12248000000,0.16200,
-0.12246000000,0.15400,
-0.12244000000,0.17600,
-0.12242000000,0.16800,
-0.12239998750,0.16000,
-0.12238000000,0.16800,
-0.12236000000,0.15600,
-0.12233998750,0.17400,
-0.12232000000,0.16600,
-0.12230000000,0.16800,
-0.12228000000,0.18000,
-0.12226000000,0.16600,
-0.12224000000,0.17400,
-0.12222000000,0.16600,
-0.12220000000,0.18200,
-0.12218000000,0.17600,
-0.12216000000,0.16400,
-0.12214000000,0.18400,
-0.12212000000,0.17000,
-0.12210000000,0.18000,
-0.12208000000,0.17200,
-0.12205998750,0.16800,
-0.12204000000,0.18600,
-0.12202000000,0.16200,
-0.12200000000,0.16400,
-0.12198000000,0.17000,
-0.12196000000,0.15800,
-0.12194000000,0.16600,
-0.12192000000,0.14800,
-0.12190000000,0.14400,
-0.12188000000,0.14800,
-0.12186000000,0.14200,
-0.12184000000,0.15000,
-0.12182000000,0.12200,
-0.12180000000,0.14800,
-0.12178000000,0.13200,
-0.12176000000,0.12600,
-0.12174000000,0.14200,
-0.12171998750,0.12000,
-0.12170000000,0.15000,
-0.12168000000,0.12200,
-0.12166000000,0.12600,
-0.12164000000,0.14600,
-0.12162000000,0.12000,
-0.12160000000,0.14200,
-0.12158000000,0.12200,
-0.12156000000,0.14400,
-0.12154000000,0.12800,
-0.12152000000,0.11400,
-0.12150000000,0.14400,
-0.12148000000,0.11800,
-0.12146000000,0.13000,
-0.12143998750,0.11600,
-0.12142000000,0.11000,
-0.12140000000,0.12600,
-0.12138000000,0.09600,
-0.12136000000,0.11600,
-0.12134000000,0.10800,
-0.12132000000,0.10000,
-0.12130000000,0.10800,
-0.12128000000,0.09200,
-0.12126000000,0.11200,
-0.12124000000,0.09600,
-0.12122000000,0.10400,
-0.12120000000,0.11400,
-0.12118000000,0.09000,
-0.12116000000,0.11200,
-0.12114000000,0.10200,
-0.12112000000,0.11600,
-0.12109998750,0.11200,
-0.12108000000,0.09600,
-0.12106000000,0.12400,
-0.12104000000,0.09400,
-0.12102000000,0.10200,
-0.12100000000,0.10400,
-0.12098000000,0.09200,
-0.12096000000,0.11000,
-0.12094000000,0.08800,
-0.12092000000,0.10600,
-0.12090000000,0.10000,
-0.12088000000,0.09800,
-0.12086000000,0.11200,
-0.12084000000,0.09600,
-0.12081998750,0.10200,
-0.12080000000,0.09000,
-0.12078000000,0.08800,
-0.12076000000,0.09600,
-0.12074000000,0.07800,
-0.12072000000,0.08800,
-0.12070000000,0.07800,
-0.12068000000,0.07000,
-0.12066000000,0.08000,
-0.12064000000,0.05400,
-0.12062000000,0.05600,
-0.12060000000,0.04000,
-0.12058000000,0.04600,
-0.12056000000,0.04000,
-0.12054000000,0.03000,
-0.12052000000,0.02600,
-0.12050000000,0.01200,
-0.12047998750,0.03000,
-0.12046000000,0.01000,
-0.12044000000,0.01600,
-0.12042000000,0.03000,
-0.12040000000,0.02800,
-0.12038000000,0.04000,
-0.12036000000,0.03600,
-0.12034000000,0.04000,
-0.12032000000,0.04200,
-0.12030000000,0.03000,
-0.12028000000,0.03200,
-0.12026000000,0.02600,
-0.12024000000,0.02200,
-0.12022000000,0.01200,
-0.12019998750,0.00800,
-0.12018000000,0.02000,
-0.12016000000,0.01000,
-0.12013998750,0.02000,
-0.12012000000,0.01400,
-0.12010000000,0.01400,
-0.12008000000,0.01800,
-0.12006000000,0.00800,
-0.12004000000,0.01600,
-0.12002000000,0.01600,
-0.12000000000,0.01200,
-0.11998000000,0.01000,
-0.11996000000,0.01000,
-0.11994000000,0.01600,
-0.11992000000,0.01600,
-0.11990000000,0.01400,
-0.11988000000,0.01400,
-0.11985998750,0.00800,
-0.11984000000,0.01600,
-0.11982000000,0.00800,
-0.11980000000,0.01400,
-0.11978000000,0.01000,
-0.11976000000,0.01000,
-0.11974000000,0.01400,
-0.11972000000,0.00600,
-0.11970000000,0.01600,
-0.11968000000,0.01200,
-0.11966000000,0.01200,
-0.11964000000,0.01200,
-0.11962000000,0.00600,
-0.11960000000,0.01000,
-0.11958000000,0.00800,
-0.11956000000,0.01200,
-0.11954000000,0.01800,
-0.11951998750,0.01000,
-0.11950000000,0.01000,
-0.11948000000,0.01000,
-0.11946000000,0.01400,
-0.11944000000,0.01400,
-0.11942000000,0.01200,
-0.11940000000,0.01600,
-0.11938000000,0.01600,
-0.11936000000,0.01200,
-0.11934000000,0.02000,
-0.11932000000,0.01000,
-0.11930000000,0.01800,
-0.11928000000,0.01000,
-0.11926000000,0.02200,
-0.11923998750,0.01000,
-0.11922000000,0.00400,
-0.11920000000,0.02000,
-0.11918000000,0.01200,
-0.11916000000,0.05200,
-0.11914000000,0.01200,
-0.11912000000,0.02400,
-0.11910000000,0.02000,
-0.11908000000,0.01400,
-0.11906000000,0.02200,
-0.11904000000,0.01800,
-0.11902000000,0.01800,
-0.11900000000,0.02000,
-0.11898000000,0.03000,
-0.11896000000,0.04800,
-0.11894000000,0.01200,
-0.11892000000,0.03800,
-0.11889998750,0.02000,
-0.11888000000,0.10200,
-0.11886000000,0.01600,
-0.11884000000,0.03600,
-0.11882000000,0.08600,
-0.11880000000,0.03000,
-0.11878000000,0.08800,
-0.11876000000,0.02000,
-0.11874000000,0.03400,
-0.11872000000,0.03000,
-0.11870000000,0.10600,
-0.11868000000,0.02400,
-0.11866000000,0.10400,
-0.11864000000,0.01800,
-0.11861998750,0.09400,
-0.11860000000,0.05200,
-0.11858000000,0.07800,
-0.11856000000,0.07800,
-0.11854000000,0.06800,
-0.11852000000,0.07800,
-0.11850000000,0.06000,
-0.11848000000,0.07600,
-0.11846000000,0.09600,
-0.11844000000,0.05200,
-0.11842000000,0.07400,
-0.11840000000,0.06400,
-0.11838000000,0.07400,
-0.11836000000,0.06000,
-0.11834000000,0.06600,
-0.11832000000,0.06800,
-0.11830000000,0.06200,
-0.11827998750,0.06600,
-0.11826000000,0.07000,
-0.11824000000,0.08400,
-0.11822000000,0.05600,
-0.11820000000,0.06000,
-0.11818000000,0.06600,
-0.11816000000,0.06200,
-0.11814000000,0.06200,
-0.11812000000,0.05200,
-0.11810000000,0.06800,
-0.11808000000,0.05000,
-0.11806000000,0.07400,
-0.11804000000,0.06400,
-0.11802000000,0.06600,
-0.11800000000,0.05600,
-0.11798000000,0.06400,
-0.11796000000,0.05600,
-0.11793998750,0.05200,
-0.11792000000,0.06200,
-0.11790000000,0.06000,
-0.11788000000,0.07000,
-0.11786000000,0.05800,
-0.11784000000,0.07200,
-0.11782000000,0.07600,
-0.11780000000,0.05000,
-0.11778000000,0.06800,
-0.11776000000,0.05000,
-0.11774000000,0.07600,
-0.11772000000,0.05000,
-0.11770000000,0.07000,
-0.11768000000,0.07400,
-0.11765998750,0.05600,
-0.11764000000,0.06800,
-0.11762000000,0.05600,
-0.11760000000,0.07400,
-0.11758000000,0.04400,
-0.11756000000,0.04200,
-0.11754000000,0.06200,
-0.11752000000,0.04200,
-0.11750000000,0.05200,
-0.11748000000,0.04200,
-0.11746000000,0.05800,
-0.11744000000,0.05200,
-0.11742000000,0.05800,
-0.11740000000,0.06200,
-0.11738000000,0.05400,
-0.11736000000,0.06200,
-0.11734000000,0.05400,
-0.11731998750,0.05800,
-0.11730000000,0.05400,
-0.11728000000,0.05600,
-0.11726000000,0.06000,
-0.11724000000,0.06400,
-0.11722000000,0.05600,
-0.11720000000,0.06000,
-0.11718000000,0.06000,
-0.11716000000,0.05600,
-0.11714000000,0.05400,
-0.11712000000,0.04000,
-0.11710000000,0.05600,
-0.11708000000,0.04600,
-0.11706000000,0.05600,
-0.11703998750,0.05800,
-0.11702000000,0.04600,
-0.11700000000,0.06000,
-0.11698000000,0.04200,
-0.11696000000,0.06400,
-0.11694000000,0.07400,
-0.11692000000,0.00800,
-0.11690000000,0.01000,
-0.11688000000,0.03800,
-0.11686000000,0.03600,
-0.11684000000,-0.00400,
-0.11682000000,-0.00200,
-0.11680000000,0.00400,
-0.11678000000,-0.00600,
-0.11676000000,-0.00600,
-0.11674000000,0.00400,
-0.11672000000,0.01000,
-0.11669998750,-0.01000,
-0.11668000000,0.01000,
-0.11666000000,-0.00200,
-0.11664000000,-0.00800,
-0.11662000000,0.00200,
-0.11660000000,-0.01200,
-0.11658000000,-0.01000,
-0.11656000000,0.00400,
-0.11654000000,-0.00200,
-0.11652000000,0.01000,
-0.11650000000,-0.01400,
-0.11648000000,0.02600,
-0.11646000000,0.02000,
-0.11644000000,-0.00200,
-0.11641998750,0.01000,
-0.11640000000,0.00200,
-0.11638000000,0.02000,
-0.11636000000,-0.00200,
-0.11634000000,-0.01400,
-0.11632000000,0.01000,
-0.11630000000,0.00,
-0.11628000000,-0.18800,
-0.11626000000,0.32000,
-0.11624000000,0.24000,
-0.11622000000,0.07600,
-0.11620000000,0.00400,
-0.11618000000,-0.02400,
-0.11616000000,0.01600,
-0.11614000000,-0.00200,
