Source,CH3
Second,Volt
-0.06144000000,0.11200,
-0.06143000000,0.10600,
-0.06142000000,0.10200,
-0.06141000000,0.10600,
-0.06140000000,0.09000,
-0.06139000000,0.10400,
-0.06138000000,0.10400,
-0.06137000000,0.09600,
-0.06136000000,0.09400,
-0.06135000000,0.10000,
-0.06133999375,0.10000,
-0.06133000000,0.09000,
-0.06132000000,0.08800,
-0.06131000000,0.09000,
-0.06130000000,0.09800,
-0.06129000000,0.09400,
-0.06128000000,0.10000,
-0.06127000000,0.08000,
-0.06126000000,0.08800,
-0.06125000000,0.09400,
-0.06124000000,0.09600,
-0.06123000000,0.09400,
-0.06122000000,0.09400,
-0.06121000000,0.10400,
-0.06119999375,0.09600,
-0.06119000000,0.10000,
-0.06118000000,0.08600,
-0.06116999375,0.10200,
-0.06116000000,0.10200,
-0.06115000000,0.11000,
-0.06114000000,0.09600,
-0.06113000000,0.08800,
-0.06112000000,0.09600,
-0.06111000000,0.10200,
-0.06110000000,0.10200,
-0.06109000000,0.09000,
-0.06108000000,0.10000,
-0.06107000000,0.10600,
-0.06106000000,0.11000,
-0.06105000000,0.09200,
-0.06104000000,0.09400,
-0.06102999375,0.09600,
-0.06102000000,0.09600,
-0.06101000000,0.10400,
-0.06100000000,0.10000,
-0.06099000000,0.09000,
-0.06098000000,0.09800,
-0.06097000000,0.09800,
-0.06096000000,0.09600,
-0.06095000000,0.09200,
-0.06094000000,0.08800,
-0.06093000000,0.11200,
-0.06092000000,0.09000,
-0.06091000000,0.08400,
-0.06090000000,0.08600,
-0.06089000000,0.08200,
-0.06088000000,0.10400,
-0.06087000000,0.10200,
-0.06085999375,0.09200,
-0.06085000000,0.08600,
-0.06084000000,0.10000,
-0.06083000000,0.09800,
-0.06082000000,0.08600,
-0.06081000000,0.07400,
-0.06080000000,0.09600,
-0.06079000000,0.10000,
-0.06078000000,0.08400,
-0.06077000000,0.09400,
-0.06076000000,0.08000,
-0.06075000000,0.08800,
-0.06074000000,0.09400,
-0.06073000000,0.09200,
-0.06071999375,0.08400,
-0.06071000000,0.08800,
-0.06070000000,0.09400,
-0.06069000000,0.08800,
-0.06068000000,0.07600,
-0.06067000000,0.08000,
-0.06066000000,0.09800,
-0.06065000000,0.08800,
-0.06064000000,0.10200,
-0.06063000000,0.08200,
-0.06062000000,0.07400,
-0.06061000000,0.08200,
-0.06060000000,0.09200,
-0.06059000000,0.08600,
-0.06058000000,0.07800,
-0.06057000000,0.09200,
-0.06056000000,0.10000,
-0.06054999375,0.09600,
-0.06054000000,0.07600,
-0.06053000000,0.08600,
-0.06052000000,0.09200,
-0.06051000000,0.09000,
-0.06050000000,0.09600,
-0.06049000000,0.08200,
-0.06048000000,0.08400,
-0.06047000000,0.09000,
-0.06046000000,0.08800,
-0.06045000000,0.07800,
-0.06044000000,0.08400,
-0.06043000000,0.09400,
-0.06042000000,0.10200,
-0.06040999375,0.08000,
-0.06040000000,0.08000,
-0.06039000000,0.08400,
-0.06038000000,0.07800,
-0.06037000000,0.09800,
-0.06036000000,0.09600,
-0.06035000000,0.08000,
-0.06034000000,0.08200,
-0.06033000000,0.09000,
-0.06032000000,0.09200,
-0.06031000000,0.07800,
-0.06030000000,0.07000,
-0.06029000000,0.10200,
-0.06028000000,0.09000,
-0.06027000000,0.08000,
-0.06026000000,0.08800,
-0.06025000000,0.07800,
-0.06023999375,-0.18800,
-0.06023000000,0.32000,
-0.06022000000,0.32000,
-0.06021000000,0.32000,
-0.06020000000,0.17600,
-0.06019000000,0.32000,
-0.06018000000,0.19200,
-0.06017000000,0.17200,
-0.06016000000,0.20800,
-0.06015000000,0.20200,
-0.06014000000,0.20000,
-0.06013000000,0.20800,
-0.06012000000,0.18200,
-0.06011000000,0.18600,
-0.06009999375,0.19600,
-0.06009000000,0.20000,
-0.06008000000,0.18600,
-0.06006999375,0.18000,
-0.06006000000,0.20200,
-0.06005000000,0.18600,
-0.06004000000,0.18200,
-0.06003000000,0.17200,
-0.06002000000,0.19400,
-0.06001000000,0.18800,
-0.06000000000,0.19200,
-0.05999000000,0.18600,
-0.05998000000,0.16200,
-0.05997000000,0.17200,
-0.05996000000,0.18800,
-0.05995000000,0.17600,
-0.05994000000,0.16200,
