Source,CH3,,
Second,Volt,,
-0.12248,-0.022,,0.24574
-0.12246,0.018,,12287
-0.12244,0.002,,50000
-0.12242,-0.012,,
-0.122399988,0.012,,
-0.12238,-0.016,,
-0.12236,0.022,,
-0.122339988,-0.008,,
-0.12232,0.004,,
-0.1223,0.028,,
-0.12228,-0.002,,
-0.12226,0.012,,
-0.12224,0.008,,
-0.12222,0.014,,
-0.1222,0.006,,
-0.12218,-0.01,,
-0.12216,0.016,,
-0.12214,-0.004,,
-0.12212,0,,
-0.1221,0.002,,
-0.12208,-0.004,,
-0.122059988,0.026,,
-0.12204,-0.002,,
-0.12202,0.008,,
-0.122,0.008,,
-0.12198,-0.008,,
-0.12196,0.014,,
-0.12194,-0.004,,
-0.12192,0.004,,
-0.1219,-0.004,,
-0.12188,0.006,,
-0.12186,0.006,,
-0.12184,-0.012,,
-0.12182,0.008,,
-0.1218,0.006,,
-0.12178,0.014,,
-0.12176,0.004,,
-0.12174,0,,
-0.121719988,0.008,,
-0.1217,0.002,,
-0.12168,0.002,,
-0.12166,0.008,,
-0.12164,0.004,,
-0.12162,0.008,,
-0.1216,0.014,,
-0.12158,0.004,,
-0.12156,0.01,,
-0.12154,-0.012,,
-0.12152,0.01,,
-0.1215,-0.002,,
-0.12148,-0.014,,
-0.12146,0.008,,
-0.121439988,-0.002,,
-0.12142,0.02,,
-0.1214,0,,
-0.12138,0.016,,
-0.12136,0.016,,
-0.12134,-0.01,,
-0.12132,0.014,,
-0.1213,-0.004,,
-0.12128,0.014,,
-0.12126,-0.012,,
-0.12124,0.006,,
-0.12122,0.016,,
-0.1212,-0.008,,
-0.12118,-0.002,,
-0.12116,0.002,,
-0.12114,0.026,,
-0.12112,-0.004,,
-0.121099988,-0.002,,
-0.12108,0.01,,
-0.12106,-0.002,,
-0.12104,0.012,,
-0.12102,-0.004,,
-0.121,0.01,,
-0.12098,0.004,,
-0.12096,0.008,,
-0.12094,0.008,,
-0.12092,0.01,,
-0.1209,-0.012,,
-0.12088,0.008,,
-0.12086,-0.002,,
-0.12084,-0.014,,
-0.120819988,0.006,,
-0.1208,0,,
-0.12078,0.02,,
-0.12076,0,,
-0.12074,0.02,,
-0.12072,0.024,,
-0.1207,-0.008,,
-0.12068,0.01,,
-0.12066,-0.002,,
-0.12064,0.016,,
-0.12062,0,,
-0.1206,0.002,,
-0.12058,0.01,,
-0.12056,-0.006,,
-0.12054,0.006,,
-0.12052,0.002,,
-0.1205,0.026,,
-0.120479988,-0.004,,
-0.12046,-0.006,,
-0.12044,0.014,,
-0.12042,0.002,,
-0.1204,0.01,,
-0.12038,-0.006,,
-0.12036,0.006,,
-0.12034,0.004,,
-0.12032,0.008,,
-0.1203,0.006,,
-0.12028,0.008,,
-0.12026,0,,
-0.12024,0.01,,
-0.12022,0,,
-0.120199988,-0.002,,
-0.12018,0.006,,
-0.12016,0.004,,
-0.120139988,0.02,,
-0.12012,-0.002,,
-0.1201,0.012,,
-0.12008,0.014,,
-0.12006,0,,
-0.12004,0.01,,
-0.12002,-0.002,,
-0.12,0.014,,
-0.11998,0,,
-0.11996,0,,
-0.11994,0.016,,
-0.11992,0,,
-0.1199,0.012,,
-0.11988,0.004,,
-0.119859988,0.014,,
-0.11984,0,,
-0.11982,0,,
-0.1198,0.016,,
-0.11978,0.006,,
-0.11976,0.008,,
-0.11974,0,,
-0.11972,0.008,,
-0.1197,0.012,,
-0.11968,0.008,,
-0.11966,0.012,,
-0.11964,0.01,,
-0.11962,0.01,,
-0.1196,0.008,,
-0.11958,0.01,,
-0.11956,0.006,,
-0.11954,0.01,,
-0.119519988,0.01,,
-0.1195,0.018,,
-0.11948,0.008,,
-0.11946,0.012,,
-0.11944,0.014,,
-0.11942,0.012,,
-0.1194,0.014,,
-0.11938,0.004,,
-0.11936,0.01,,
-0.11934,0.008,,
-0.11932,0.01,,
-0.1193,0.016,,
-0.11928,0.008,,
-0.11926,0.02,,
-0.119239988,0.008,,
-0.11922,0.016,,
-0.1192,0.01,,
-0.11918,0.01,,
-0.11916,0.018,,
-0.11914,0.012,,
-0.11912,0.016,,
-0.1191,0.01,,
-0.11908,0.012,,
-0.11906,0.016,,
-0.11904,0.01,,
-0.11902,0.016,,
-0.119,0.01,,
-0.11898,0.004,,
-0.11896,0.016,,
-0.11894,0.008,,
-0.11892,0.012,,
-0.118899988,0.01,,
-0.11888,0.016,,
-0.11886,0.018,,
-0.11884,0.012,,
-0.11882,0.016,,
-0.1188,0.018,,
-0.11878,0.026,,
